length,total_time,n_points_x,n_points_t,n_points_rand,n_points_init,n_points_boundary,weight_residual,weight_initial,weight_boundary,adapt_weights,layers,neurons_per_layer,epochs,learning_rate,activation,c,a,phi,equation,boundary_condition,hard_constraint,exact,collocation_points,tag,loss,loss_residual,loss_initial,loss_boundary,l2_error,l2_error_init
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,0.5,2.0,linear,zero,False,True,const,dir_c03_A05_phi2,2.539361230446957e-05,3.0379294457816286e-06,1.0383755579823628e-05,1.197192796098534e-05,tensor(0.3509),tensor(0.0352)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,0.5,4.0,linear,zero,False,True,const,dir_c03_A05_phi4,2.403736834821757e-05,9.170554221782368e-06,1.2790238542947918e-05,2.0765739918715558e-06,tensor(0.6155),tensor(0.0532)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,0.5,6.0,linear,zero,False,True,const,dir_c03_A05_phi6,0.0001288011699216,8.41680885059759e-05,3.005482722073793e-05,1.4578250556951389e-05,tensor(0.7251),tensor(0.0696)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,1.0,2.0,linear,zero,False,True,const,dir_c03_A1_phi2,6.490357918664813e-06,3.837641088466626e-06,2.0697111722256523e-06,5.830058285027917e-07,tensor(0.1544),tensor(0.0127)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,1.0,4.0,linear,zero,False,True,const,dir_c03_A1_phi4,0.0003604336525313,9.381047129863872e-05,0.0001259146665688,0.0001407085073878,tensor(2.9655),tensor(0.1871)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,1.0,6.0,linear,zero,False,True,const,dir_c03_A1_phi6,0.0018256226321682,0.0015274151228368,0.0001198401441797,0.0001783673360478,tensor(1.9302),tensor(0.1516)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,2.0,2.0,linear,zero,False,True,const,dir_c03_A2_phi2,7.658604590687901e-05,3.3484870073152706e-05,1.5903820894891396e-05,2.71973513008561e-05,tensor(0.6897),tensor(0.0628)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,2.0,4.0,linear,zero,False,True,const,dir_c03_A2_phi4,0.0011090331245213,0.0003681362140923,0.0004181381082162,0.0003227587440051,tensor(2.4564),tensor(0.1987)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.3,2.0,6.0,linear,zero,False,True,const,dir_c03_A2_phi6,0.0162676870822906,0.00345228635706,0.0117950374260544,0.0010203638812527,tensor(10.3772),tensor(0.5855)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,0.5,2.0,linear,zero,False,True,const,dir_c05_A05_phi2,1.995556340261828e-05,1.3847736227035057e-05,4.715038357971935e-06,1.3927896134191542e-06,tensor(0.2095),tensor(0.0193)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,0.5,4.0,linear,zero,False,True,const,dir_c05_A05_phi4,0.0001496178301749,9.670409053796902e-05,2.172210042772349e-05,3.1191633752314374e-05,tensor(0.8872),tensor(0.0764)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,0.5,6.0,linear,zero,False,True,const,dir_c05_A05_phi6,0.00102359498851,0.0008709477842785,0.0001455358578823,7.11135635356186e-06,tensor(0.6466),tensor(0.0789)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,1.0,2.0,linear,zero,False,True,const,dir_c05_A1_phi2,0.0002628460351843,8.759910997468978e-05,0.0001270646462216,4.8182282625930384e-05,tensor(1.2650),tensor(0.0532)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,1.0,4.0,linear,zero,False,True,const,dir_c05_A1_phi4,0.0005525455926544,0.0003957873850595,0.0001050952196237,5.1662973419297487e-05,tensor(1.4610),tensor(0.1374)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,1.0,6.0,linear,zero,False,True,const,dir_c05_A1_phi6,0.00328438449651,0.0002432558685541,0.0017583317821845,0.0012827968457713,tensor(5.5732),tensor(0.3036)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,2.0,2.0,linear,zero,False,True,const,dir_c05_A2_phi2,0.0001153423872892,5.092084757052362e-05,3.65346422768198e-05,2.788689744193107e-05,tensor(0.8663),tensor(0.0523)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,2.0,4.0,linear,zero,False,True,const,dir_c05_A2_phi4,0.0092030251398682,0.0021273621823638,0.0033651159610599,0.0037105469964444,tensor(15.2127),tensor(0.8592)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,0.5,2.0,6.0,linear,zero,False,True,const,dir_c05_A2_phi6,0.0087979333475232,0.0067910570651292,0.0017270595999434,0.0002798171772155,tensor(2.7212),tensor(0.3139)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,0.5,2.0,linear,zero,False,True,const,dir_c1_A05_phi2,0.0001775460841599,9.1038309619762e-05,3.929451486328617e-05,4.7213245125021785e-05,tensor(1.4414),tensor(0.0921)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,0.5,4.0,linear,zero,False,True,const,dir_c1_A05_phi4,0.0004128555883653,0.0001378903543809,0.0001425690134055,0.0001323962351307,tensor(2.6470),tensor(0.1787)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,0.5,6.0,linear,zero,False,True,const,dir_c1_A05_phi6,0.0093215480446815,0.0002515038941055,0.0040033087134361,0.0050667356699705,tensor(21.1838),tensor(1.0772)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,1.0,2.0,linear,zero,False,True,const,dir_c1_A1_phi2,0.0006789496401324,0.0003255991323385,0.000205751392059,0.0001475991157349,tensor(2.6065),tensor(0.1823)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,1.0,4.0,linear,zero,False,True,const,dir_c1_A1_phi4,0.0108653903007507,0.0056238211691379,0.0044693984091281,0.0007721703732386,tensor(9.4173),tensor(0.7017)
1.0,1.0,150,150,10000,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,1.0,6.0,linear,zero,False,True,const,dir_c1_A1_phi6,0.0833288133144378,0.0022124233655631,0.0282414723187685,0.0528749153017997,tensor(60.3596),tensor(2.8049)
