length,total_time,n_points_x,n_points_t,n_points_rand,n_points_init,n_points_boundary,weight_residual,weight_initial,weight_boundary,adapt_weights,layers,neurons_per_layer,epochs,learning_rate,activation,c,a,phi,equation,boundary_condition,hard_constraint,exact,collocation_points,tag,loss,loss_residual,loss_initial,loss_boundary,l2_error,l2_error_init
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,2.0,1.0,4.0,linear,zero,False,True,const,eq4_tanh,0.215498685836792,0.07162731140851974,0.09907598793506622,0.04479540139436722,tensor(117.3986),tensor(3.8421)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,atanh,2.0,1.0,4.0,linear,zero,False,True,const,eq4_atanh,0.10299962759017944,0.016577625647187233,0.03132573515176773,0.05509627237915993,tensor(113.0251),tensor(2.6512)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sin,2.0,1.0,4.0,linear,zero,False,True,const,eq4_sin,1.4190067052841187,1.2590734958648682,0.1326257586479187,0.027307353913784027,tensor(78.5035),tensor(1.7966)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,swish,2.0,1.0,4.0,linear,zero,False,True,const,eq4_swish,0.13079297542572021,0.0215633362531662,0.061131834983825684,0.048097796738147736,tensor(114.3815),tensor(3.5194)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sigmoid,2.0,1.0,4.0,linear,zero,False,True,const,eq4_sig,0.08878118544816971,0.004067862872034311,0.023837458342313766,0.06087586283683777,tensor(112.3422),tensor(2.3464)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,1.0,2.0,4.0,linear,reflective,False,True,const,eq5_tanh,0.019460616633296013,0.014188986271619797,0.0007064520032145083,0.004565178882330656,tensor(2.4734),tensor(0.3697)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,atanh,1.0,2.0,4.0,linear,reflective,False,True,const,eq5_atanh,0.026263967156410217,0.018740830942988396,0.003326825797557831,0.004196311347186565,tensor(7.5246),tensor(0.7269)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sin,1.0,2.0,4.0,linear,reflective,False,True,const,eq5_sin,0.01585705578327179,0.006110483314841986,0.00847073644399643,0.0012758348602801561,tensor(17.7530),tensor(1.5321)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,swish,1.0,2.0,4.0,linear,reflective,False,True,const,eq5_swish,0.117367684841156,0.07298406958580017,0.008009388111531734,0.036374226212501526,tensor(13.6355),tensor(1.1261)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sigmoid,1.0,2.0,4.0,linear,reflective,False,True,const,eq5_sig,0.019445406273007393,0.0026015371549874544,0.011320855468511581,0.005523014348000288,tensor(13.2583),tensor(1.6274)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,tanh,2.0,1.0,4.0,linear,reflective,False,True,const,eq6_tanh,0.0744263231754303,0.001766708679497242,0.05425103008747101,0.01840858720242977,tensor(43.8174),tensor(3.8708)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,atanh,2.0,1.0,4.0,linear,reflective,False,True,const,eq6_atanh,0.46297383308410645,0.0013572805328294635,0.45356976985931396,0.008046785369515419,tensor(144.0261),tensor(11.6478)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sin,2.0,1.0,4.0,linear,reflective,False,True,const,eq6_sin,0.1203826293349266,0.06380607932806015,0.04524669423699379,0.011329852975904942,tensor(38.4584),tensor(3.1151)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,swish,2.0,1.0,4.0,linear,reflective,False,True,const,eq6_swish,0.06569267809391022,0.002903306856751442,0.058475445955991745,0.0043139271438121796,tensor(48.3151),tensor(4.1323)
1.0,1.0,150,150,22500,150,150,1.0,1.0,1.0,False,4,80,60000,0.002,sigmoid,2.0,1.0,4.0,linear,reflective,False,True,const,eq6_sig,0.06819942593574524,0.0015268545830622315,0.05531340837478638,0.011359164491295815,tensor(40.0957),tensor(3.3039)
